Gene ID,Gene Name,Col.0,pp7l.1
AT2G19130,NA,31.324748327186892,32.23585424879234
AT2G19146,NA,0.7458273411234975,0.9210244071083526
AT2G19150,PME10,1.491654682246995,1.8420488142167053
AT2G19160,NA,119.33237457975959,139.07468547336126
AT2G19170,SBT2.5,74.58273411234974,81.05014782553503
AT2G19180,NA,67.12446070111477,93.02346511794362
AT2G19190,SIRK,2.98330936449399,0.9210244071083526
AT2G19210,NA,0.7458273411234975,0
AT2G19220,NA,0,0
AT2G19230,NA,0,0
AT2G19240,NA,10.441582775728964,6.447170849758469
AT2G19260,NA,29.833093644939897,19.341512549275407
AT2G19270,NA,56.6828779253858,54.34044001939281
AT2G19280,NA,24.612302257075417,20.26253695638376
AT2G19290,NA,0,0.9210244071083526
AT2G19300,NA,0,0
AT2G19310,HSP18.5,325.92654807096835,486.3008869532102
AT2G19320,NA,0,0
AT2G19330,PIRL6,1.491654682246995,0.9210244071083526
AT2G19340,NA,2.237482023370492,3.6840976284334106
AT2G19350,NA,64.88697867774428,85.65526986107679
AT2G19360,NA,0,0
AT2G19365,NA,0,0
AT2G19380,UBA1C,9.695755434605466,11.973317292408584
AT2G19385,NA,10.441582775728964,10.13126847819188
AT2G19390,NA,100.68669105167216,104.9967824103522
AT2G19400,NA,9.695755434605466,13.815366106625289
AT2G19410,NA,2.237482023370492,5.5261464426501155
AT2G19420,NA,0,0
AT2G19425,MIR156G,0,0
AT2G19430,THO6,55.93705058426231,66.3137573118014
AT2G19440,NA,1.491654682246995,1.8420488142167053
AT2G19450,DGAT1,189.44014464536835,202.62536956383758
AT2G19460,NA,36.545539715051376,57.10351324071787
AT2G19470,CKL5,92.48259029931369,115.12805088854408
AT2G19480,NAP1;2,178.9985618696394,155.6531248013116
AT2G19490,NA,23.12064757482842,34.9989274701174
AT2G19500,CKX2,2.98330936449399,1.8420488142167053
AT2G19510,LBD8,0,0
AT2G19520,MSI4,129.02813001436505,124.3382949596276
AT2G19530,NA,2.98330936449399,0.9210244071083526
AT2G19540,NA,166.31949707053994,151.96902717287819
AT2G19550,NA,2.98330936449399,0.9210244071083526
AT2G19560,EER5,47.73294983190384,47.89326916963434
AT2G19570,CDA1,0,0
AT2G19572,NA,0.7458273411234975,0
